time,I_bus_1,I_bus_2,I_bus_3
0.0394,0.45344,-0.63782,0.0014196
0.0395,0.45299,-0.6372,0.0014301
0.0396,0.45254,-0.63657,0.0014406
0.0397,0.45209,-0.63595,0.0014511
0.0398,0.45164,-0.63533,0.0014615
0.0399,0.45119,-0.63471,0.0014719
0.04,0.45074,-0.63409,0.0014823
0.0401,0.45029,-0.63348,0.0014926
0.0402,0.44984,-0.63286,0.0015029
0.0403,0.4494,-0.63224,0.0015132
0.0404,0.44895,-0.63162,0.0015234
0.0405,0.4485,-0.63101,0.0015336
0.0406,0.44806,-0.63039,0.0015438
0.0407,0.44761,-0.62978,0.0015539
0.0408,0.44717,-0.62916,0.0015641
0.0409,0.44673,-0.62855,0.0015741
0.041,0.44628,-0.62794,0.0015842
0.0411,0.44584,-0.62732,0.0015942
0.0412,0.4454,-0.62671,0.0016042
0.0413,0.44495,-0.6261,0.0016141
0.0414,0.44451,-0.62549,0.001624
0.0415,0.44407,-0.62488,0.0016339
0.0416,0.44363,-0.62427,0.0016437
0.0417,0.44319,-0.62366,0.0016535
0.0418,0.44275,-0.62305,0.0016633
0.0419,0.44231,-0.62244,0.0016731
0.042,0.44187,-0.62184,0.0016828
0.0421,0.44143,-0.62123,0.0016925
0.0422,0.44099,-0.62062,0.0017021
0.0423,0.44055,-0.62002,0.0017118
0.0424,0.44012,-0.61941,0.0017213
0.0425,0.43968,-0.61881,0.0017309
0.0426,0.43924,-0.61821,0.0017404
0.0427,0.4388,-0.6176,0.0017499
0.0428,0.43837,-0.617,0.0017594
0.0429,0.43793,-0.6164,0.0017688
0.043,0.4375,-0.6158,0.0017782
0.0431,0.43706,-0.6152,0.0017876
0.0432,0.43663,-0.6146,0.0017969
0.0433,0.4362,-0.614,0.0018063
0.0434,0.43576,-0.6134,0.0018155
0.0435,0.43533,-0.6128,0.0018248
0.0436,0.4349,-0.6122,0.001834
0.0437,0.43447,-0.6116,0.0018432
0.0438,0.43403,-0.61101,0.0018523
0.0439,0.4336,-0.61041,0.0018615
0.044,0.43317,-0.60981,0.0018706
0.0441,0.43274,-0.60922,0.0018796
0.0442,0.43231,-0.60862,0.0018887
0.0443,0.43188,-0.60803,0.0018977
0.0444,0.43145,-0.60744,0.0019066
0.0445,0.43103,-0.60684,0.0019156
0.0446,0.4306,-0.60625,0.0019245
0.0447,0.43017,-0.60566,0.0019334
0.0448,0.42974,-0.60507,0.0019422
0.0449,0.42932,-0.60448,0.0019511
0.045,0.42889,-0.60389,0.0019599
0.0451,0.42846,-0.6033,0.0019686
0.0452,0.42804,-0.60271,0.0019774
0.0453,0.42761,-0.60212,0.0019861
0.0454,0.42719,-0.60153,0.0019947
0.0455,0.42676,-0.60095,0.0020034
0.0456,0.42634,-0.60036,0.002012
0.0457,0.42592,-0.59977,0.0020206
0.0458,0.42549,-0.59919,0.0020292
0.0459,0.42507,-0.5986,0.0020377
0.046,0.42465,-0.59802,0.0020462
0.0461,0.42423,-0.59744,0.0020547
0.0462,0.42381,-0.59685,0.0020631
0.0463,0.42338,-0.59627,0.0020715
0.0464,0.42296,-0.59569,0.0020799
0.0465,0.42254,-0.59511,0.0020883
0.0466,0.42212,-0.59453,0.0020966
0.0467,0.42171,-0.59395,0.0021049
0.0468,0.42129,-0.59337,0.0021132
0.0469,0.42087,-0.59279,0.0021214
0.047,0.42045,-0.59221,0.0021296
0.0471,0.42003,-0.59163,0.0021378
0.0472,0.41962,-0.59105,0.002146
0.0473,0.4192,-0.59047,0.0021541
0.0474,0.41878,-0.5899,0.0021622
0.0475,0.41837,-0.58932,0.0021703
0.0476,0.41795,-0.58875,0.0021783
0.0477,0.41754,-0.58817,0.0021863
0.0478,0.41712,-0.5876,0.0021943
0.0479,0.41671,-0.58702,0.0022023
0.048,0.41629,-0.58645,0.0022102
0.0481,0.41588,-0.58588,0.0022181
0.0482,0.41547,-0.58531,0.002226
0.0483,0.41505,-0.58474,0.0022339
0.0484,0.41464,-0.58416,0.0022417
0.0485,0.41423,-0.58359,0.0022495
0.0486,0.41382,-0.58302,0.0022572
0.0487,0.41341,-0.58245,0.002265
0.0488,0.413,-0.58189,0.0022727
0.0489,0.41259,-0.58132,0.0022804
0.049,0.41218,-0.58075,0.0022881
0.0491,0.41177,-0.58018,0.0022957
0.0492,0.41136,-0.57962,0.0023033
0.0493,0.41095,-0.57905,0.0023109
0.0494,0.41054,-0.57849,0.0023184
0.0495,0.41014,-0.57792,0.002326
0.0496,0.40973,-0.57736,0.0023335
0.0497,0.40932,-0.57679,0.0023409
0.0498,0.40891,-0.57623,0.0023484
0.0499,0.40851,-0.57567,0.0023558
0.05,0.4081,-0.5751,0.0023632
0.0501,0.4077,-0.57454,0.0023706
0.0502,0.40729,-0.57398,0.0023779
0.0503,0.40689,-0.57342,0.0023852
0.0504,0.40648,-0.57286,0.0023925
0.0505,0.40608,-0.5723,0.0023998
0.0506,0.40568,-0.57174,0.002407
0.0507,0.40528,-0.57118,0.0024142
0.0508,0.40487,-0.57063,0.0024214
0.0509,0.40447,-0.57007,0.0024286
0.051,0.40407,-0.56951,0.0024357
0.0511,0.40367,-0.56896,0.0024428
0.0512,0.40327,-0.5684,0.0024499
0.0513,0.40287,-0.56784,0.002457
0.0514,0.40247,-0.56729,0.002464
0.0515,0.40207,-0.56674,0.002471
0.0516,0.40167,-0.56618,0.002478
0.0517,0.40127,-0.56563,0.0024849
0.0518,0.40087,-0.56508,0.0024919
0.0519,0.40047,-0.56453,0.0024988
0.052,0.40008,-0.56397,0.0025056
0.0521,0.39968,-0.56342,0.0025125
0.0522,0.39928,-0.56287,0.0025193
0.0523,0.39888,-0.56232,0.0025261
0.0524,0.39849,-0.56177,0.0025329
0.0525,0.39809,-0.56122,0.0025397
0.0526,0.3977,-0.56068,0.0025464
0.0527,0.3973,-0.56013,0.0025531
0.0528,0.39691,-0.55958,0.0025598
0.0529,0.39651,-0.55903,0.0025664
0.053,0.39612,-0.55849,0.0025731
0.0531,0.39573,-0.55794,0.0025797
0.0532,0.39533,-0.5574,0.0025863
0.0533,0.39494,-0.55685,0.0025928
0.0534,0.39455,-0.55631,0.0025994
0.0535,0.39416,-0.55577,0.0026059
0.0536,0.39377,-0.55522,0.0026124
0.0537,0.39338,-0.55468,0.0026188
0.0538,0.39299,-0.55414,0.0026253
0.0539,0.3926,-0.5536,0.0026317
0.054,0.39221,-0.55306,0.0026381
0.0541,0.39182,-0.55252,0.0026444
0.0542,0.39143,-0.55198,0.0026508
0.0543,0.39104,-0.55144,0.0026571
0.0544,0.39065,-0.5509,0.0026634
0.0545,0.39026,-0.55036,0.0026696
0.0546,0.38988,-0.54982,0.0026759
0.0547,0.38949,-0.54928,0.0026821
0.0548,0.3891,-0.54875,0.0026883
0.0549,0.38872,-0.54821,0.0026945
0.055,0.38833,-0.54768,0.0027006
0.0551,0.38794,-0.54714,0.0027068
0.0552,0.38756,-0.54661,0.0027129
0.0553,0.38717,-0.54607,0.002719
0.0554,0.38679,-0.54554,0.002725
0.0555,0.38641,-0.54501,0.0027311
0.0556,0.38602,-0.54447,0.0027371
0.0557,0.38564,-0.54394,0.0027431
0.0558,0.38526,-0.54341,0.002749
0.0559,0.38487,-0.54288,0.002755
0.056,0.38449,-0.54235,0.0027609
0.0561,0.38411,-0.54182,0.0027668
0.0562,0.38373,-0.54129,0.0027727
0.0563,0.38335,-0.54076,0.0027785
0.0564,0.38297,-0.54023,0.0027844
0.0565,0.38259,-0.5397,0.0027902
0.0566,0.38221,-0.53918,0.002796
0.0567,0.38183,-0.53865,0.0028017
0.0568,0.38145,-0.53812,0.0028075
0.0569,0.38107,-0.5376,0.0028132
0.057,0.38069,-0.53707,0.0028189
0.0571,0.38031,-0.53655,0.0028246
0.0572,0.37994,-0.53602,0.0028302
0.0573,0.37956,-0.5355,0.0028358
0.0574,0.37918,-0.53497,0.0028414
0.0575,0.37881,-0.53445,0.002847
0.0576,0.37843,-0.53393,0.0028526
0.0577,0.37805,-0.53341,0.0028581
0.0578,0.37768,-0.53289,0.0028637
0.0579,0.3773,-0.53236,0.0028692
0.058,0.37693,-0.53184,0.0028746
0.0581,0.37656,-0.53132,0.0028801
0.0582,0.37618,-0.53081,0.0028855
0.0583,0.37581,-0.53029,0.0028909
0.0584,0.37544,-0.52977,0.0028963
0.0585,0.37506,-0.52925,0.0029017
0.0586,0.37469,-0.52873,0.002907
0.0587,0.37432,-0.52822,0.0029124
0.0588,0.37395,-0.5277,0.0029177
0.0589,0.37358,-0.52718,0.002923
0.059,0.37321,-0.52667,0.0029282
0.0591,0.37284,-0.52615,0.0029335
0.0592,0.37246,-0.52564,0.0029387
0.0593,0.3721,-0.52513,0.0029439
0.0594,0.37173,-0.52461,0.0029491
0.0595,0.37136,-0.5241,0.0029542
0.0596,0.37099,-0.52359,0.0029593
0.0597,0.37062,-0.52308,0.0029645
0.0598,0.37025,-0.52256,0.0029696
0.0599,0.36988,-0.52205,0.0029746
0.06,0.36952,-0.52154,0.0029797
0.0601,0.36915,-0.52103,0.0029847
0.0602,0.36878,-0.52052,0.0029897
0.0603,0.36842,-0.52001,0.0029947
0.0604,0.36805,-0.51951,0.0029997
0.0605,0.36769,-0.519,0.0030046
0.0606,0.36732,-0.51849,0.0030096
0.0607,0.36696,-0.51798,0.0030145
0.0608,0.36659,-0.51748,0.0030194
0.0609,0.36623,-0.51697,0.0030242
0.061,0.36587,-0.51647,0.0030291
0.0611,0.3655,-0.51596,0.0030339
0.0612,0.36514,-0.51546,0.0030387
0.0613,0.36478,-0.51495,0.0030435
0.0614,0.36442,-0.51445,0.0030483
0.0615,0.36405,-0.51395,0.003053
0.0616,0.36369,-0.51344,0.0030578
0.0617,0.36333,-0.51294,0.0030625
0.0618,0.36297,-0.51244,0.0030672
0.0619,0.36261,-0.51194,0.0030718
0.062,0.36225,-0.51144,0.0030765
0.0621,0.36189,-0.51094,0.0030811
0.0622,0.36153,-0.51044,0.0030857
0.0623,0.36117,-0.50994,0.0030903
0.0624,0.36082,-0.50944,0.0030949
0.0625,0.36046,-0.50894,0.0030994
0.0626,0.3601,-0.50844,0.003104
0.0627,0.35974,-0.50795,0.0031085
0.0628,0.35939,-0.50745,0.003113
0.0629,0.35903,-0.50695,0.0031175
0.063,0.35867,-0.50646,0.0031219
0.0631,0.35832,-0.50596,0.0031263
0.0632,0.35796,-0.50547,0.0031308
0.0633,0.35761,-0.50497,0.0031352
0.0634,0.35725,-0.50448,0.0031395
0.0635,0.3569,-0.50399,0.0031439
0.0636,0.35654,-0.50349,0.0031482
0.0637,0.35619,-0.503,0.0031526
0.0638,0.35584,-0.50251,0.0031569
0.0639,0.35548,-0.50202,0.0031611
0.064,0.35513,-0.50153,0.0031654
0.0641,0.35478,-0.50104,0.0031697
