time,V_bus_1,V_bus_2,V_bus_3,V_MG
0.46603,800.12,800.14,800.14,800.13
0.46726,800.17,800.13,800.14,800.15
0.46816,800.13,800.12,800.13,800.13
0.46905,800.13,800.13,800.13,800.13
0.47014,800.15,800.11,800.13,800.13
0.47135,800.01,800.2,800.15,800.12
0.47243,800.41,799.97,800.09,800.16
0.4733,800,800.19,800.14,800.11
0.47418,800.18,800.09,800.12,800.13
0.47526,800.02,800.17,800.14,800.11
0.47656,800.73,799.85,800.06,800.21
0.47743,799.89,800.23,800.15,800.09
0.47831,800.22,800.08,800.11,800.14
0.47939,799.98,800.17,800.13,800.1
0.48036,800.22,800.08,800.11,800.14
0.48132,800.06,800.13,800.12,800.1
0.48232,800.15,800.11,800.12,800.13
0.48333,800.11,800.1,800.11,800.11
0.48432,800.1,800.13,800.12,800.12
0.48528,800.15,800.08,800.11,800.11
0.48626,800.07,800.14,800.12,800.11
0.48731,800.2,800.06,800.1,800.12
0.48838,799.95,800.19,800.13,800.09
0.48944,800.37,799.98,800.08,800.14
0.49048,799.76,800.27,800.14,800.06
0.49149,800.51,799.93,800.07,800.17
0.49247,799.79,800.24,800.14,800.06
0.49345,800.36,800.01,800.09,800.15
0.49433,800.02,800.13,800.11,800.09
0.4952,800.14,800.09,800.1,800.11
0.49621,800.08,800.1,800.1,800.09
0.49738,800.12,800.11,800.1,800.11
0.49848,800.15,800.04,800.08,800.09
0.49937,800.06,800.13,800.11,800.1
0.50018,800.11,800.09,800.09,800.1
0.50082,785.06,786.69,790.43,787.4
0.50145,780.55,781.68,783.24,781.82
0.50222,779.38,781.22,780.79,780.46
0.50317,778.18,780.57,781.04,779.93
0.50411,777.64,779.89,780.77,779.44
0.50547,777.58,779.75,780.39,779.24
0.50687,778.2,779.66,780.44,779.43
0.50774,777.99,779.94,780.66,779.53
0.5086,778.03,780.15,780.85,779.68
0.50971,778.31,780.34,781.09,779.92
0.51099,779.05,780.37,781.33,780.25
0.51185,778.84,780.72,781.56,780.38
0.51271,778.87,780.97,781.77,780.54
0.5138,779.13,781.16,782.01,780.77
0.51506,779.79,781.21,782.25,781.08
0.51595,779.66,781.53,782.48,781.22
0.51683,779.7,781.76,782.69,781.38
0.51791,779.96,781.94,782.92,781.6
0.51914,780.56,782,783.14,781.9
0.52004,780.45,782.29,783.36,782.03
0.52093,780.49,782.52,783.56,782.19
0.522,780.74,782.69,783.78,782.4
0.52322,781.29,782.75,784,782.68
0.52432,781.83,782.79,784.19,782.93
0.52523,781.57,783.15,784.41,783.04
0.52607,781.45,783.42,784.61,783.16
0.52704,781.59,783.61,784.8,783.33
0.52822,781.96,783.73,785.02,783.57
0.52941,782.67,783.69,785.2,783.85
0.53041,782.73,783.9,785.4,784.01
0.53124,782.43,784.26,785.61,784.1
0.53213,782.45,784.46,785.79,784.23
0.53321,782.68,784.61,785.98,784.43
0.53444,783.25,784.63,786.17,784.69
0.53555,783.8,784.63,786.34,784.92
0.53644,783.46,785,786.55,785
0.53726,783.31,785.27,786.73,785.1
0.53824,783.43,785.43,786.9,785.26
0.53943,783.8,785.52,787.09,785.47
0.54063,784.53,785.44,787.25,785.74
0.54162,784.54,785.66,787.43,785.88
0.54244,784.19,786.01,787.62,785.94
0.54332,784.19,786.2,787.78,786.06
0.54441,784.41,786.33,787.96,786.23
0.54565,784.99,786.31,788.12,786.48
0.54653,784.8,786.59,788.3,786.56
0.54741,784.79,786.78,788.46,786.68
0.54848,784.99,786.9,788.63,786.84
0.54971,785.51,786.91,788.79,787.07
0.55082,786.06,786.87,788.92,787.28
0.55172,785.71,787.21,789.11,787.34
0.55254,785.53,787.46,789.27,787.42
0.55351,785.63,787.61,789.42,787.55
0.55469,785.95,787.68,789.58,787.74
0.5559,786.65,787.58,789.71,787.98
0.55689,786.68,787.75,789.86,788.1
0.55771,786.3,788.09,790.04,788.14
0.55859,786.28,788.26,790.18,788.24
0.55967,786.46,788.37,790.33,788.39
0.5609,786.99,788.34,790.47,788.6
0.56179,786.81,788.59,790.62,788.67
0.56267,786.79,788.76,790.76,788.77
0.56374,786.96,788.86,790.9,788.91
0.56496,787.45,788.84,791.04,789.11
0.56607,787.94,788.8,791.15,789.3
0.56696,787.6,789.11,791.32,789.34
0.56779,787.42,789.34,791.46,789.4
0.56876,787.49,789.47,791.59,789.52
0.56994,787.8,789.52,791.72,789.68
0.57113,788.45,789.4,791.83,789.89
0.57212,788.45,789.56,791.96,789.99
0.57295,788.08,789.87,792.12,790.02
0.57383,788.04,790.03,792.24,790.1
0.57491,788.21,790.12,792.37,790.23
0.57614,788.71,790.07,792.48,790.42
0.57702,788.52,790.3,792.62,790.48
0.5779,788.48,790.45,792.74,790.56
0.57897,788.63,790.54,792.87,790.68
0.58019,789.09,790.5,792.97,790.86
0.58129,789.56,790.44,793.07,791.02
0.58219,789.21,790.73,793.22,791.05
0.58302,789.02,790.95,793.34,791.1
0.58398,789.08,791.06,793.45,791.2
0.58516,789.36,791.09,793.57,791.34
0.58635,789.98,790.96,793.65,791.53
0.58734,789.97,791.1,793.77,791.61
0.58817,789.59,791.39,793.91,791.63
0.58904,789.54,791.54,794.02,791.7
0.59012,789.69,791.61,794.13,791.81
0.59135,790.17,791.54,794.22,791.98
0.59223,789.96,791.76,794.34,792.02
0.59312,789.91,791.9,794.45,792.08
0.59419,790.05,791.97,794.55,792.19
0.5954,790.49,791.91,794.64,792.35
0.5965,790.93,791.84,794.72,792.5
0.59739,790.58,792.12,794.85,792.52
0.59822,790.37,792.32,794.96,792.55
0.59919,790.42,792.42,795.06,792.63
0.60036,790.68,792.43,795.16,792.76
0.60155,791.28,792.28,795.22,792.93
0.60254,791.26,792.41,795.32,793
0.60337,790.87,792.7,795.45,793
0.60424,790.81,792.83,795.54,793.06
0.60532,790.94,792.88,795.64,793.15
0.60655,791.41,792.8,795.71,793.31
0.60743,791.19,793,795.82,793.34
0.60831,791.12,793.13,795.91,793.39
0.60938,791.24,793.19,796,793.48
0.61059,791.67,793.12,796.07,793.62
0.61169,792.1,793.03,796.13,793.75
0.61258,791.73,793.3,796.25,793.76
0.61341,791.51,793.49,796.35,793.79
0.61438,791.55,793.57,796.44,793.85
0.61555,791.8,793.58,796.52,793.96
0.61674,792.39,793.42,796.57,794.12
0.61772,792.35,793.53,796.66,794.18
0.61855,791.95,793.8,796.77,794.18
0.61943,791.88,793.92,796.85,794.22
0.6205,792,793.97,796.93,794.3
0.62173,792.45,793.88,796.99,794.44
0.62261,792.22,794.07,797.09,794.46
0.62349,792.14,794.19,797.17,794.5
0.62456,792.26,794.23,797.25,794.58
0.62576,792.66,794.15,797.31,794.71
0.62686,793.08,794.05,797.35,794.83
0.62776,792.71,794.31,797.46,794.83
0.62858,792.48,794.49,797.55,794.84
0.62955,792.5,794.56,797.62,794.9
0.63072,792.74,794.55,797.69,794.99
0.63191,793.31,794.38,797.72,795.14
0.63289,793.27,794.49,797.8,795.19
0.63372,792.86,794.75,797.91,795.17
0.63459,792.78,794.86,797.98,795.21
0.63567,792.89,794.9,798.05,795.28
0.63689,793.33,794.79,798.09,795.4
0.63777,793.09,794.97,798.18,795.41
0.63865,793,795.08,798.25,795.45
0.63972,793.11,795.12,798.32,795.51
0.64093,793.5,795.03,798.36,795.63
0.64202,793.91,794.92,798.4,795.74
0.64292,793.53,795.17,798.5,795.73
0.64374,793.29,795.34,798.58,795.74
0.64471,793.31,795.4,798.64,795.78
