time,V_MG
0.1516,803.31
0.1517,803.31
0.1518,803.31
0.1519,803.3
0.152,803.3
0.1521,803.3
0.1522,803.29
0.1523,803.29
0.1524,803.29
0.1525,803.28
0.1526,803.28
0.1527,803.28
0.1528,803.27
0.1529,803.27
0.153,803.27
0.1531,803.26
0.1532,803.26
0.1533,803.26
0.1534,803.25
0.1535,803.25
0.1536,803.25
0.1537,803.24
0.1538,803.24
0.1539,803.24
0.154,803.23
0.1541,803.23
0.1542,803.23
0.1543,803.23
0.1544,803.22
0.1545,803.22
0.1546,803.22
0.1547,803.21
0.1548,803.21
0.1549,803.21
0.155,803.2
0.1551,803.2
0.1552,803.2
0.1553,803.19
0.1554,803.19
0.1555,803.19
0.1556,803.18
0.1557,803.18
0.1558,803.18
0.1559,803.17
0.156,803.17
0.1561,803.17
0.1562,803.16
0.1563,803.16
0.1564,803.16
0.1565,803.16
0.1566,803.15
0.1567,803.15
0.1568,803.15
0.1569,803.14
0.157,803.14
0.1571,803.14
